observation_id,task_id,task_version,category,workload,tags,font_id,font_family,font_size_px,margin_px,line_gap_px,width,height,patch_columns,patch_rows,patches,estimated_image_tokens,image_sha256,font_sha256,model,attempts,thread_id,latency_ms,returncode,infrastructure_failure,passed,score,response,expected_json,usage_json,instruction_sha256,payload_sha256,completed_at
reading_001:fira-sans:8px:7c42312853b3,reading_001,1,reading_fact,noncoding,reading_comprehension;synthetic;fact;non_coding,fira-sans,Fira Sans,8,1,1,160,210,5,7,35,42.0,7c42312853b3012f0250b6dd5c5c6a5d9f0b5c7b38f54e793d086d0eda16c095,a389cef71891df1232370fcebd7cfde5f74e741967070399adc91fd069b2094b,gpt-5.6-luna,1,01a06fe8-3705-71f1-878d-c50351f2229c,4689,0,,True,1.0,silver,"""silver""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 8960, ""input_tokens"": 14266, ""output_tokens"": 33, ""reasoning_output_tokens"": 26}",48f5f72e060a64e861b86376ca66bd8e429a9f0587ecfd1e0d19bd59d6e4463b,1a0bc0e9a7ae59409d5f5c5b14f7c144fc0a0a3d23da8982559bbaa091db1b22,2026-09-05T04:51:28.313992+00:00
reading_002:fira-sans:8px:932c979abe33,reading_002,1,reading_date,noncoding,reading_comprehension;synthetic;date;non_coding,fira-sans,Fira Sans,8,1,1,160,221,5,7,35,42.0,932c979abe33dd523b094687de03531f9d04e7aff0655e2bae3732c3fd56c914,a389cef71891df1232370fcebd7cfde5f74e741967070399adc91fd069b2094b,gpt-5.6-luna,1,01a06fe8-36d2-73b2-a198-a6fa89f428ae,5320,0,,True,1.0,September 5,"""September 5""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 12032, ""input_tokens"": 12960, ""output_tokens"": 56, ""reasoning_output_tokens"": 47}",8a8f754b372381435c11f76308985534f2822f48026455c23a7a440760464d51,5f64b085439f2313173dce925b428810dba71e859a9d599a853b8873c1ef5b87,2026-09-05T04:51:28.944627+00:00
reading_003:fira-sans:8px:4cf99f4a7b3e,reading_003,1,reading_quantity,noncoding,reading_comprehension;synthetic;quantity;non_coding,fira-sans,Fira Sans,8,1,1,191,188,6,6,36,43.199999999999996,4cf99f4a7b3e3fa6218d4be04461a00fa062114cacb40fc338aff62d6608eff5,a389cef71891df1232370fcebd7cfde5f74e741967070399adc91fd069b2094b,gpt-5.6-luna,1,01a06fe8-3691-7c70-991f-039843021f81,5028,0,,True,1.0,76,"""76""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 8960, ""input_tokens"": 12962, ""output_tokens"": 47, ""reasoning_output_tokens"": 40}",6b8c4936631f7f3402fa0f2b0c7d8a86130bb3449b9eb2d1216767cd93046f1a,5a69d7cdee20c2ca996ef4e46b6b69c859baefb2ad2495b68bec61a7fc35636f,2026-09-05T04:51:28.652887+00:00
reading_004:fira-sans:8px:e55b3170a086,reading_004,1,reading_cause,noncoding,reading_comprehension;synthetic;cause;non_coding,fira-sans,Fira Sans,8,1,1,192,188,6,6,36,43.199999999999996,e55b3170a0860d63de932781fc53423caa8bf67bb963b02e31be7030b2ef9cf1,a389cef71891df1232370fcebd7cfde5f74e741967070399adc91fd069b2094b,gpt-5.6-luna,1,01a06fe8-36ab-72d3-b3dd-35d01b4ef0e3,6330,0,,False,0.0,Because the inventory count took longer than expected.,"""the inventory count took longer than expected""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 8960, ""input_tokens"": 14263, ""output_tokens"": 73, ""reasoning_output_tokens"": 58}",1e7f7b9d1807811b4077ed9ed91469cb18630cd31542261a55bea1aba42a2302,ca7fa11ef2caa555150255be40340311ceecff4b67cbb45de4c1314294fb57fe,2026-09-05T04:51:29.954333+00:00
reading_005:fira-sans:8px:2352441cab82,reading_005,1,reading_location,noncoding,reading_comprehension;synthetic;location;non_coding,fira-sans,Fira Sans,8,1,1,160,221,5,7,35,42.0,2352441cab8241c94c3834e71952a096e8c2244a99dcd6881af236970c940a80,a389cef71891df1232370fcebd7cfde5f74e741967070399adc91fd069b2094b,gpt-5.6-luna,1,01a06fe8-475b-7630-9913-61ce204875be,4986,0,,False,0.0,The field station,"""field station""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 8960, ""input_tokens"": 12962, ""output_tokens"": 78, ""reasoning_output_tokens"": 69}",50ab133b2a3123a8957e7692e89fae65b578bc0a0debf285a1bf126bc40565e4,5f50d8a7810d4360a9d1b0d858838614097c344b5c29b90e1c6ae0a82078b332,2026-09-05T04:51:33.301519+00:00
reading_006:fira-sans:8px:5dc988b83c02,reading_006,1,reading_fact,noncoding,reading_comprehension;synthetic;fact;non_coding,fira-sans,Fira Sans,8,1,1,192,188,6,6,36,43.199999999999996,5dc988b83c02620bf0692d872ae1e0e6c29336a376c018113504fafa94403bf1,a389cef71891df1232370fcebd7cfde5f74e741967070399adc91fd069b2094b,gpt-5.6-luna,1,01a06fe8-495f-7e81-8c55-9745e6f95111,6191,0,,True,1.0,teal,"""teal""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 8960, ""input_tokens"": 12960, ""output_tokens"": 54, ""reasoning_output_tokens"": 46}",7d88be18617d6d206acb6136bcac63193623eda09383c5d1fb10d0732757ca67,ccb2d86dd05f3d205115363c62e18ce1b7dcb369e86c063c5d6e58ee28496553,2026-09-05T04:51:34.844404+00:00
reading_007:fira-sans:8px:669675aea06b,reading_007,1,reading_date,noncoding,reading_comprehension;synthetic;date;non_coding,fira-sans,Fira Sans,8,1,1,160,210,5,7,35,42.0,669675aea06b8241d690dd9414a26220d44a82df5cbe8227fd47c0ef635ef30d,a389cef71891df1232370fcebd7cfde5f74e741967070399adc91fd069b2094b,gpt-5.6-luna,1,01a06fe8-4b3d-7601-a456-c46315e12993,5220,0,,True,1.0,May 14,"""May 14""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 12032, ""input_tokens"": 12962, ""output_tokens"": 76, ""reasoning_output_tokens"": 67}",cfa88d4e94bed52379acebb31d2bff81e835f020690b8740f270530f15313cb2,09539c98c2187da74495353e3462b05e9a5a76366159ad8a9e8cc34cdfe6a999,2026-09-05T04:51:34.165511+00:00
reading_008:fira-sans:8px:4c32ee94da1d,reading_008,1,reading_quantity,noncoding,reading_comprehension;synthetic;quantity;non_coding,fira-sans,Fira Sans,8,1,1,224,155,7,5,35,42.0,4c32ee94da1df3dd42802b3b4d72058e0874ec978890c0a9de807136aa9c94e1,a389cef71891df1232370fcebd7cfde5f74e741967070399adc91fd069b2094b,gpt-5.6-luna,1,01a06fe8-4e99-73f1-ba63-784f58f6ffc7,4353,0,,False,0.0,40 cases,"""36""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 8960, ""input_tokens"": 12962, ""output_tokens"": 44, ""reasoning_output_tokens"": 36}",f529f9ddfe44bb21a8c7c1827e6f698a7d2ef32a7eb228f90f69d6b94a91a7b8,418b0d25e22793213328120d7d111753f4ccd09277a6b31946b6fa99f55250af,2026-09-05T04:51:34.308154+00:00
reading_009:fira-sans:8px:e657834f0d64,reading_009,1,reading_cause,noncoding,reading_comprehension;synthetic;cause;non_coding,fira-sans,Fira Sans,8,1,1,191,188,6,6,36,43.199999999999996,e657834f0d6441eaeaebbb1c10db65dfb46eaa0d3f5b1810546e2314b0137bdc,a389cef71891df1232370fcebd7cfde5f74e741967070399adc91fd069b2094b,gpt-5.6-luna,1,01a06fe8-5a61-7b13-b2c1-9d38acb53802,5639,0,,False,0.0,Because the calibration check had to be repeated.,"""the calibration check had to be repeated""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 12032, ""input_tokens"": 12964, ""output_tokens"": 101, ""reasoning_output_tokens"": 86}",4c6d810eefc60ec85d93b05a59e17798ee655947e1ef2c4e666ef5d73902b2f1,ef03cab1f44d92ae8ff7b48e8ee802312f3e201754382efd31ab5eefc558ec2c,2026-09-05T04:51:38.941336+00:00
reading_010:fira-sans:8px:0ba7719eebba,reading_010,1,reading_location,noncoding,reading_comprehension;synthetic;location;non_coding,fira-sans,Fira Sans,8,1,1,158,221,5,7,35,42.0,0ba7719eebba06df57d8bffbf1f97dd79912f8b43efe1703510a795a38cd41e8,a389cef71891df1232370fcebd7cfde5f74e741967070399adc91fd069b2094b,gpt-5.6-luna,1,01a06fe8-5e3e-7a00-95e5-444b4de19665,5757,0,,False,0.0,The upper archive,"""upper archive""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 12032, ""input_tokens"": 12958, ""output_tokens"": 124, ""reasoning_output_tokens"": 115}",645dbca5ebac0ce34258415f886a20bfb8b43f8dad39b780dadab296e54f65e6,b98c20494bd49d22e4505a21182ec38fd58b3d9d0e4df1addfab0056eefa0c68,2026-09-05T04:51:39.923460+00:00
