observation_id,condition,task_id,category,font_id,font_size_px,patches,estimated_image_tokens,image_sha256,image_path,model,attempts,thread_id,latency_ms,returncode,infrastructure_failure,passed,score,response,expected_json,usage_json,text_input_tokens,instruction_sha256,payload_sha256,prompt_template_sha256,completed_at
reading_001:fira-sans:8px:7c42312853b3,image,reading_001,reading_fact,fira-sans,8,35,42.0,7c42312853b3012f0250b6dd5c5c6a5d9f0b5c7b38f54e793d086d0eda16c095,/home/ubuntu/Projects/visual-context-efficiency/rendered/reading-200/fira-sans/8px/reading_001.png,gpt-5.6-luna,1,01a07266-6ffb-7d43-812b-b16833b6eaf9,5126,0,,True,1.0,silver,"""silver""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 8960, ""input_tokens"": 12963, ""output_tokens"": 54, ""reasoning_output_tokens"": 47}",,48f5f72e060a64e861b86376ca66bd8e429a9f0587ecfd1e0d19bd59d6e4463b,1a0bc0e9a7ae59409d5f5c5b14f7c144fc0a0a3d23da8982559bbaa091db1b22,d48ec730df5530e32f1eb5b52f259af4935db4e3c42c00ff395c2b17239c9af1,2026-09-05T16:28:35.623022+00:00
reading_002:fira-sans:8px:932c979abe33,image,reading_002,reading_date,fira-sans,8,35,42.0,932c979abe33dd523b094687de03531f9d04e7aff0655e2bae3732c3fd56c914,/home/ubuntu/Projects/visual-context-efficiency/rendered/reading-200/fira-sans/8px/reading_002.png,gpt-5.6-luna,1,01a07266-70bf-7da3-ad37-4eae633659ef,5158,0,,True,1.0,September 5,"""September 5""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 8960, ""input_tokens"": 12958, ""output_tokens"": 51, ""reasoning_output_tokens"": 42}",,8a8f754b372381435c11f76308985534f2822f48026455c23a7a440760464d51,5f64b085439f2313173dce925b428810dba71e859a9d599a853b8873c1ef5b87,d48ec730df5530e32f1eb5b52f259af4935db4e3c42c00ff395c2b17239c9af1,2026-09-05T16:28:35.655066+00:00
reading_003:fira-sans:8px:4cf99f4a7b3e,image,reading_003,reading_quantity,fira-sans,8,36,43.199999999999996,4cf99f4a7b3e3fa6218d4be04461a00fa062114cacb40fc338aff62d6608eff5,/home/ubuntu/Projects/visual-context-efficiency/rendered/reading-200/fira-sans/8px/reading_003.png,gpt-5.6-luna,1,01a07266-704c-7e23-a0ce-6e58866eca2d,7168,0,,True,1.0,76,"""76""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 8960, ""input_tokens"": 12964, ""output_tokens"": 175, ""reasoning_output_tokens"": 168}",,6b8c4936631f7f3402fa0f2b0c7d8a86130bb3449b9eb2d1216767cd93046f1a,5a69d7cdee20c2ca996ef4e46b6b69c859baefb2ad2495b68bec61a7fc35636f,d48ec730df5530e32f1eb5b52f259af4935db4e3c42c00ff395c2b17239c9af1,2026-09-05T16:28:37.665286+00:00
reading_004:fira-sans:8px:e55b3170a086,image,reading_004,reading_cause,fira-sans,8,36,43.199999999999996,e55b3170a0860d63de932781fc53423caa8bf67bb963b02e31be7030b2ef9cf1,/home/ubuntu/Projects/visual-context-efficiency/rendered/reading-200/fira-sans/8px/reading_004.png,gpt-5.6-luna,1,01a07266-7047-7731-8704-f78efc250701,7342,0,,False,0.0,Because the inventory count took longer than expected.,"""the inventory count took longer than expected""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 12032, ""input_tokens"": 12960, ""output_tokens"": 61, ""reasoning_output_tokens"": 46}",,1e7f7b9d1807811b4077ed9ed91469cb18630cd31542261a55bea1aba42a2302,ca7fa11ef2caa555150255be40340311ceecff4b67cbb45de4c1314294fb57fe,d48ec730df5530e32f1eb5b52f259af4935db4e3c42c00ff395c2b17239c9af1,2026-09-05T16:28:37.847200+00:00
reading_005:fira-sans:8px:2352441cab82,image,reading_005,reading_location,fira-sans,8,35,42.0,2352441cab8241c94c3834e71952a096e8c2244a99dcd6881af236970c940a80,/home/ubuntu/Projects/visual-context-efficiency/rendered/reading-200/fira-sans/8px/reading_005.png,gpt-5.6-luna,1,01a07266-8330-7a70-9418-f1fe8b0db568,5461,0,,False,0.0,The field station,"""field station""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 12032, ""input_tokens"": 12956, ""output_tokens"": 83, ""reasoning_output_tokens"": 74}",,50ab133b2a3123a8957e7692e89fae65b578bc0a0debf285a1bf126bc40565e4,5f50d8a7810d4360a9d1b0d858838614097c344b5c29b90e1c6ae0a82078b332,d48ec730df5530e32f1eb5b52f259af4935db4e3c42c00ff395c2b17239c9af1,2026-09-05T16:28:41.084876+00:00
reading_006:fira-sans:8px:5dc988b83c02,image,reading_006,reading_fact,fira-sans,8,36,43.199999999999996,5dc988b83c02620bf0692d872ae1e0e6c29336a376c018113504fafa94403bf1,/home/ubuntu/Projects/visual-context-efficiency/rendered/reading-200/fira-sans/8px/reading_006.png,gpt-5.6-luna,1,01a07266-835c-7e03-ac92-192968fff2c5,6067,0,,True,1.0,teal,"""teal""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 12032, ""input_tokens"": 12964, ""output_tokens"": 37, ""reasoning_output_tokens"": 29}",,7d88be18617d6d206acb6136bcac63193623eda09383c5d1fb10d0732757ca67,ccb2d86dd05f3d205115363c62e18ce1b7dcb369e86c063c5d6e58ee28496553,d48ec730df5530e32f1eb5b52f259af4935db4e3c42c00ff395c2b17239c9af1,2026-09-05T16:28:41.723115+00:00
reading_007:fira-sans:8px:669675aea06b,image,reading_007,reading_date,fira-sans,8,35,42.0,669675aea06b8241d690dd9414a26220d44a82df5cbe8227fd47c0ef635ef30d,/home/ubuntu/Projects/visual-context-efficiency/rendered/reading-200/fira-sans/8px/reading_007.png,gpt-5.6-luna,1,01a07266-8ab9-7f83-b4e7-a36f6edc1735,4134,0,,True,1.0,May 14,"""May 14""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 8960, ""input_tokens"": 12962, ""output_tokens"": 50, ""reasoning_output_tokens"": 41}",,cfa88d4e94bed52379acebb31d2bff81e835f020690b8740f270530f15313cb2,09539c98c2187da74495353e3462b05e9a5a76366159ad8a9e8cc34cdfe6a999,d48ec730df5530e32f1eb5b52f259af4935db4e3c42c00ff395c2b17239c9af1,2026-09-05T16:28:41.800853+00:00
reading_008:fira-sans:8px:4c32ee94da1d,image,reading_008,reading_quantity,fira-sans,8,35,42.0,4c32ee94da1df3dd42802b3b4d72058e0874ec978890c0a9de807136aa9c94e1,/home/ubuntu/Projects/visual-context-efficiency/rendered/reading-200/fira-sans/8px/reading_008.png,gpt-5.6-luna,1,01a07266-8bdf-78c1-8971-d7efc1cc218a,6362,0,,True,1.0,36,"""36""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 8960, ""input_tokens"": 12960, ""output_tokens"": 59, ""reasoning_output_tokens"": 52}",,f529f9ddfe44bb21a8c7c1827e6f698a7d2ef32a7eb228f90f69d6b94a91a7b8,418b0d25e22793213328120d7d111753f4ccd09277a6b31946b6fa99f55250af,d48ec730df5530e32f1eb5b52f259af4935db4e3c42c00ff395c2b17239c9af1,2026-09-05T16:28:44.210218+00:00
reading_009:fira-sans:8px:e657834f0d64,image,reading_009,reading_cause,fira-sans,8,36,43.199999999999996,e657834f0d6441eaeaebbb1c10db65dfb46eaa0d3f5b1810546e2314b0137bdc,/home/ubuntu/Projects/visual-context-efficiency/rendered/reading-200/fira-sans/8px/reading_009.png,gpt-5.6-luna,1,01a07266-9816-7121-ab54-ef45449b3ed7,5834,0,,False,0.0,Because the calibration check had to be repeated.,"""the calibration check had to be repeated""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 8960, ""input_tokens"": 12964, ""output_tokens"": 59, ""reasoning_output_tokens"": 44}",,4c6d810eefc60ec85d93b05a59e17798ee655947e1ef2c4e666ef5d73902b2f1,ef03cab1f44d92ae8ff7b48e8ee802312f3e201754382efd31ab5eefc558ec2c,d48ec730df5530e32f1eb5b52f259af4935db4e3c42c00ff395c2b17239c9af1,2026-09-05T16:28:46.920271+00:00
reading_010:fira-sans:8px:0ba7719eebba,image,reading_010,reading_location,fira-sans,8,35,42.0,0ba7719eebba06df57d8bffbf1f97dd79912f8b43efe1703510a795a38cd41e8,/home/ubuntu/Projects/visual-context-efficiency/rendered/reading-200/fira-sans/8px/reading_010.png,gpt-5.6-luna,1,01a07266-9b97-7530-8ac9-c33cd2480adb,6361,0,,False,0.0,The upper archive,"""upper archive""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 8960, ""input_tokens"": 12956, ""output_tokens"": 72, ""reasoning_output_tokens"": 63}",,645dbca5ebac0ce34258415f886a20bfb8b43f8dad39b780dadab296e54f65e6,b98c20494bd49d22e4505a21182ec38fd58b3d9d0e4df1addfab0056eefa0c68,d48ec730df5530e32f1eb5b52f259af4935db4e3c42c00ff395c2b17239c9af1,2026-09-05T16:28:48.085707+00:00
